Den_ID	Year	Status	Species	Litter_ID	Comments
FOX140	2007	N	Arctic fox	2007_AF09	Cubs seen leaving up to 1 km from the den on 23/07 and not coming back; Female brought back 2 cubs on 24/07 and 1 cub seen on 25/07 about 2 km away from the den.
FOX141	2007	NR			
FOX142	2007	NR			
FOX143	2007	NR			
FOX144	2007	NR			
FOX145	2007	NR			
FOX201	2007	N	Arctic fox	2007_AF10	Cubs were heard inside the den but not actually seen
FOX202	2007	NR			
FOX203	2007	NR			
FOX204	2007	N	Arctic fox	2007_AF11	
FOX205	2007	NR			
FOX206	2007	NR			
FOX207	2007	NR			
FOX208	2007	R	Arctic fox	2007_AF11	
FOX305	2007	NR			
FOX307	2007	NR			
FOX309	2007	NR			
FOX317	2007	NR			
FOX319	2007	NR			
FOX322	2007	NR			
FOX323	2007	NR			
FOX324	2007	NR			
FOX325	2007	NR			
FOX334	2007	NR			
FOX335	2007	NR			
FOX001	2008	N	Arctic fox	2008_AF01	
FOX002	2008	NR			
FOX003	2008	N	Arctic fox	2008_AF02	May have been born in FOX016 which had signs of activity at the beginning of the season while there were none on FOX003
FOX004	2008	R	Arctic fox	2008_AF01	
FOX005	2008	R	Arctic fox	2008_AF03	
FOX006	2008	N	Arctic fox	2008_AF03	
FOX007	2008	NR			
FOX008	2008	NR			
FOX009	2008	NR			
FOX010	2008	R	Arctic fox	2008_AF01	
FOX014	2008	NR			
FOX015	2008	NR			
FOX016	2008	NR			
FOX018	2008	NR			
FOX019	2008	NR			
FOX020	2008	NR			
FOX021	2008	NR			
FOX022	2008	NR			
FOX023	2008	NR			
FOX024	2008	N	Red fox	2008_RF01	1 adult red morph and 1 adult cross morph, min. 8 cubs seen on cameras (5 red and 3 cross)
FOX025	2008	NR			
FOX026	2008	NR			
FOX027	2008	NR			
FOX028	2008	NR			
FOX029	2008	NR			
FOX031	2008	NR			
FOX032	2008	NR			
FOX034	2008	NR			
FOX036	2008	NR			
FOX037	2008	NR			
FOX038	2008	NR			
FOX040	2008	NR			
FOX041	2008	NR			
FOX101	2008	NR			
FOX102	2008	N	Arctic fox	2008_AF04	
FOX104	2008	NR			
FOX105	2008	NR			
FOX106	2008	N	Arctic fox	2008_AF05	
FOX107	2008	N	Arctic fox	2008_AF06	
FOX108	2008	NR			
FOX109	2008	NR			
FOX110	2008	NR			
FOX111	2008	N	Arctic fox	2008_AF07	
FOX112	2008	R	Arctic fox	2008_AF08	Litter split between FOX112 and FOX131, a few cubs were seen with the female at FOX112 while other cubs were still at FOX131 with the father
FOX113	2008	N	Arctic fox	2008_AF09	
FOX114	2008	N	Arctic fox	2008_AF10	Female found dead 04/08/08 with one leg trapped under a rock
FOX115	2008	N	Arctic fox	2008_AF11	
FOX116	2008	NR			
FOX117	2008	NR			
FOX120	2008	NR			
FOX121	2008	NR			
FOX122	2008	N	Arctic fox	2008_AF12	
FOX123	2008	NR			
FOX124	2008	N	Arctic fox	2008_AF13	
FOX125	2008	NR			
FOX126	2008	NR			
FOX127	2008	NR			
FOX128	2008	NR			
FOX131	2008	N	Arctic fox	2008_AF08	
FOX132	2008	NR			
FOX133	2008	NR			
FOX134	2008	N	Arctic fox	2008_AF14	
FOX135	2008	NR			
FOX137	2008	N	Arctic fox	2008_AF15	
FOX139	2008	NR			
FOX140	2008	NR			
FOX141	2008	NR			
FOX142	2008	NR			
FOX143	2008	R	Arctic fox	2008_AF14	
FOX144	2008	NR			
FOX145	2008	N	Arctic fox	2008_AF16	
FOX146	2008	N	Arctic fox	2008_AF17	
FOX147	2008	N	Arctic fox	2008_AF18	
FOX148	2008	R	Arctic fox	2008_AF12	
FOX201	2008	N	Arctic fox	2008_AF19	
FOX202	2008	NR			
FOX203	2008	NR			
FOX204	2008	R	Arctic fox	2008_AF19	
FOX205	2008	NR			
FOX206	2008	NR			
FOX207	2008	N	Arctic fox	2008_AF20	
FOX208	2008	NR			
FOX305	2008	NR			
FOX307	2008	NR			
FOX309	2008	NR			
FOX317	2008	NR			
FOX319	2008	NR			
FOX322	2008	NR			
FOX323	2008	NR			
FOX324	2008	N	Arctic fox	2008_AF21	
FOX325	2008	NR			
FOX334	2008	NR			
FOX335	2008	NR			
FOX001	2009	NR			
FOX002	2009	NR			
FOX003	2009	NR			
FOX004	2009	NR			
FOX005	2009	NR			
FOX006	2009	NR			
FOX007	2009	NR			
FOX008	2009	NR			
FOX009	2009	NR			
FOX010	2009	NR			
FOX014	2009	NR			
FOX015	2009	NR			
FOX016	2009	NR			
FOX018	2009	NR			
FOX019	2009	NR			
FOX020	2009	NR			
FOX021	2009	NR			
FOX022	2009	NR			
FOX023	2009	NR			
FOX024	2009	NR			
FOX025	2009	NR			
FOX026	2009	NR			
FOX027	2009	NR			
FOX028	2009	NR			
FOX029	2009	NR			
FOX031	2009	NR			
FOX032	2009	NR			
FOX034	2009	NR			
FOX036	2009	NR			
FOX037	2009	NR			
FOX038	2009	NR			
FOX040	2009	NR			
FOX041	2009	NR			
FOX101	2009	R	Arctic fox	2009_AF01	
FOX102	2009	R	Arctic fox	2009_AF02	
FOX104	2009	NR			
FOX105	2009	R	Arctic fox	2009_AF01	
FOX106	2009	N	Arctic fox	2009_AF02	
FOX107	2009	N	Arctic fox	2009_AF01	
FOX108	2009	NR			
FOX109	2009	NR			
FOX110	2009	NR			
FOX111	2009	NR			
FOX112	2009	NR			
FOX113	2009	NR			
FOX114	2009	NR			
FOX115	2009	NR			
FOX116	2009	NR			
FOX117	2009	NR			
FOX120	2009	C			
FOX121	2009	NR			
FOX122	2009	NR			
FOX123	2009	NR			
FOX124	2009	NR			
FOX125	2009	NR			
FOX126	2009	NR			
FOX127	2009	NR			
FOX128	2009	NR			
FOX131	2009	N	Arctic fox	2009_AF03	Female killed during summer
FOX132	2009	NR			
FOX133	2009	NR			
FOX134	2009	NR			
FOX135	2009	NR			
FOX137	2009	NR			
FOX139	2009	NR			
FOX140	2009	NR			
FOX141	2009	NR			
FOX142	2009	NR			
FOX143	2009	NR			
FOX144	2009	NR			
FOX145	2009	NR			
FOX146	2009	NR			
FOX147	2009	NR			
FOX148	2009	NR			
FOX149	2009	NR			
FOX150	2009	NR			
FOX151	2009	NR			
FOX201	2009	R	Arctic fox	2009_AF04	
FOX202	2009	NR			
FOX203	2009	NR			
FOX204	2009	N	Arctic fox	2009_AF04	
FOX205	2009	NR			
FOX206	2009	NR			
FOX207	2009	NR			
FOX208	2009	NR			
FOX305	2009	NR			
FOX307	2009	NR			
FOX309	2009	NR			
FOX317	2009	NR			
FOX319	2009	NR			
FOX322	2009	NR			
FOX323	2009	NR			
FOX324	2009	NR			
FOX325	2009	NR			
FOX334	2009	NR			
FOX335	2009	NR			
FOX001	2010	NR			
FOX002	2010	NR			
FOX003	2010	NR			
FOX004	2010	NR			
FOX005	2010	NR			
FOX006	2010	NR			
FOX007	2010	NR			
FOX008	2010	NR			
FOX009	2010	NR			
FOX010	2010	NR			Female of the den seemed pregnant in May although no cubs were seen on the den afterwards
FOX014	2010	NR			
FOX015	2010	NR			
FOX016	2010	NR			
FOX018	2010	NR			
FOX019	2010	NR			
FOX020	2010	NR			
FOX021	2010	NR			
FOX022	2010	NR			
FOX023	2010	NR			
FOX024	2010	NR			
FOX025	2010	NR			
FOX026	2010	NR			
FOX027	2010	NR			
FOX028	2010	NR			
FOX029	2010	NR			
FOX031	2010	NR			
FOX032	2010	NR			
FOX034	2010	NR			
FOX036	2010	NR			
FOX037	2010	NR			
FOX038	2010	NR			
FOX040	2010	NR			
FOX041	2010	NR			
FOX101	2010	N	Arctic fox	2010_AF01	Natal AND rearing den. Litter moved from FOX101 to FOX105 in June, then FOX107 in July, and split between FOX101 and FOX105 on 18/07/2010
FOX102	2010	N	Arctic fox	2010_AF02	
FOX104	2010	N	Arctic fox	2010_AF03	
FOX105	2010	R	Arctic fox	2010_AF01	FOX105 was used as a rearing den in June, then litter moved to FOX107 and split between FOX105 and FOX101 on 18/07/2010
FOX106	2010	N	Arctic fox	2010_AF04	Male killed by local hunter during summer
FOX107	2010	R	Arctic fox	2010_AF01	
FOX108	2010	N	Arctic fox	2010_AF05	
FOX109	2010	NR			
FOX110	2010	NR			
FOX111	2010	N	Arctic fox	2010_AF06	
FOX112	2010	NR			
FOX113	2010	N	Arctic fox	2010_AF07	
FOX114	2010	NR			
FOX115	2010	NR			
FOX116	2010	NR			
FOX117	2010	NR			
FOX121	2010	NR			
FOX122	2010	N	Arctic fox	2010_AF08	
FOX123	2010	NR			
